1762290116.2550192,489,7190,1,0
1762290116.3263457,470,7186,1,0
1762290116.397817,457,7174,1,1
1762290116.4684153,439,7158,1,0
1762290116.5397542,426,7132,0,0
1762290116.6103077,417,7102,1,1
1762290117,404,7068,0,0
1762290116.7527325,402,7030,1,0
1762290116.8231254,394,6988,0,0
1762290116.8947651,392,6944,0,0
1762290116.966061,389,6900,0,1
1762290117.036841,373,6854,1,0
1762290117.1080804,364,6802,1,0
1762290117.1780906,364,6746,1,0
1762290117.2503116,364,6688,0,1
1762290117.3201401,364,6630,1,1
1762290117.3914046,364,6574,1,0
1762290117.4621747,364,6516,0,1
1762290117.5339324,364,6458,1,1
1762290117.6048243,364,6402,1,0
1762290117.6758678,364,6344,0,1
1762290117.7468467,364,6286,1,1
1762290117.8177726,364,6230,1,0
1762290117.8879864,364,6172,0,1
1762290117.9592462,364,6114,1,1
1762290118.0309768,364,6058,1,0
1762290118.1014044,364,6000,0,1
1762290118.1728127,364,5942,1,1
1762290118.2433913,364,5886,1,0
1762290118.3144422,364,5828,0,1
1762290118.385412,364,5770,1,1
1762290118.4560757,364,5714,1,0
1762290118.527346,364,5656,0,0
1762290118.5985038,364,5598,1,1
1762290118.6688926,364,5542,1,0
1762290119,364,5484,0,0
1762290118.811448,364,5428,0,1
1762290119,364,5370,1,0
1762290118.9538448,364,5312,0,0
1762290119.0247135,364,5256,0,1
1762290119.095386,364,5198,1,0
1762290119.1666324,364,5140,0,0
1762290119.2375581,364,5084,0,1
1762290119.308368,364,5026,1,0
1762290119.3796704,364,4968,0,0
1762290119.4506705,364,4912,0,1
1762290119.5213149,364,4854,1,1
1762290119.5927606,364,4796,0,0
1762290119.6631012,363,4740,0,1
1762290119.734232,364,4682,1,0
1762290119.8054962,364,4624,0,0
1762290119.8769386,364,4566,1,1
1762290119.9479592,364,4510,1,0
1762290120.0186694,364,4452,0,0
1762290120.089444,364,4394,1,1
1762290120.1610453,364,4338,1,0
1762290120.2313206,364,4280,0,0
1762290120.3026552,364,4224,0,1
1762290120.3736653,364,4166,1,0
1762290120.4444485,364,4108,0,0
1762290120.5157874,364,4052,0,1
1762290120.5863552,364,3994,1,0
1762290120.658062,364,3936,0,0
1762290120.728499,364,3880,0,1
1762290120.7999446,364,3822,1,1
1762290120.8705533,364,3764,0,0
1762290120.9414027,364,3708,0,1
1762290121.0127187,364,3650,1,1
1762290121.0839121,364,3592,0,0
1762290121.1541717,364,3536,0,1
1762290121.2255313,364,3478,1,1
1762290121.2963648,364,3422,1,0
1762290121.3678186,364,3364,0,1
1762290121.438268,364,3306,1,1
1762290121.5099957,364,3250,1,0
1762290121.5809774,364,3192,0,1
1762290121.6520686,364,3134,1,1
1762290121.7228034,364,3078,1,0
1762290121.7931068,364,3020,0,0
1762290121.8647637,364,2964,0,1
1762290121.9350688,364,2906,1,0
1762290122.006941,364,2848,0,0
1762290122.077301,364,2792,0,1
1762290122.1483395,364,2734,1,1
1762290122.2194946,364,2676,0,0
1762290122.2907696,364,2620,0,1
1762290122.3620572,364,2562,1,1
1762290122.4321911,364,2506,1,0
1762290122.5038376,364,2448,0,0
1762290122.5749774,364,2392,0,1
1762290122.6448886,364,2334,1,0
1762290122.7168365,364,2276,0,0
1762290122.7876654,364,2220,0,1
1762290122.8588247,364,2162,1,1
1762290122.929717,364,2104,0,0
1762290123.0010514,364,2048,0,1
1762290123.0715704,364,1990,1,1
1762290123.142628,364,1934,1,0
1762290123.2137887,364,1876,0,0
1762290123.2844472,364,1818,1,1
1762290123.3555582,364,1762,1,0
1762290123.4266548,364,1704,0,0
1762290123.4979863,364,1648,0,1
1762290123.5691247,364,1590,1,0
1762290123.6391926,364,1532,0,0
1762290123.7104256,364,1476,0,1
1762290123.7813365,364,1418,1,1
1762290123.8529403,364,1362,1,0
1762290123.9240685,364,1304,0,1
1762290123.9940333,364,1246,1,1
1762290124.0651405,364,1190,1,0
1762290124.1365519,364,1132,0,0
1762290124.2076962,364,1076,0,1
1762290124.2789314,364,1018,1,0
1762290124.349672,364,960,0,0
1762290124.4210358,364,904,0,1
1762290124.4911003,364,846,1,1
1762290124.562641,364,788,0,0
1762290124.6339636,364,732,0,1
1762290124.7043543,364,674,1,1
1762290124.7756956,364,618,1,0
1762290124.846571,364,560,0,0
1762290124.917152,364,504,1,1
1762290124.988657,364,446,1,0
1762290125.0592167,364,388,0,0
1762290125.1311963,364,332,0,1
1762290125.201184,364,274,1,1
1762290125.2727132,364,218,1,0
1762290125.343279,364,160,0,1
1762290125.4142056,364,102,1,1
1762290125.4853635,363,46,1,0

